Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
Fairfield,82,30,2028,67.6,1926,64.2,3.4,63.3,457,620,73.7,1668,42.3,0,0,0,383,12.767,426,14.2,1072,35.7,1024,34.1,1.6,0,214,7.1,542,18.1
Fairleigh Dickinson,83,29,2012,69.4,1975,68.1,1.3,58.6,331,479,69.1,1722,42.9,0,0,0,398,13.724,350,12.069,955,32.9,1091,37.6,-4.7,0,211,7.3,575,19.8
FIU,85,27,1515,56.1,1842,68.2,-12.1,18.5,331,518,63.9,1325,40.4,0,0,0,243,9,514,19.037,877,32.5,922,34.1,-1.7,0,160,5.9,511,18.9
Fla. Atlantic,86,28,2157,77,2154,76.9,0.1,32.1,347,526,66,1834,43.6,0,0,0,423,15.107,440,15.714,1063,38,1069,38.2,-0.2,0,260,9.3,596,21.3
Florida,87,30,2309,77,2074,69.1,7.8,66.7,447,594,75.3,1674,48.3,0,0,0,488,16.267,440,14.667,1055,35.2,1020,34,1.2,0,196,6.5,568,18.9
Florida A&M,88,30,2163,72.1,2219,74,-1.9,46.7,525,736,71.3,1673,41.4,0,0,0,381,12.7,508,16.933,1016,33.9,1119,37.3,-3.4,0,250,8.3,659,22
Florida St.,89,31,2209,71.3,2002,64.6,6.7,58.1,408,597,68.3,1729,44.2,0,0,0,464,14.968,493,15.903,1111,35.8,1067,34.4,1.4,0,277,8.9,592,19.1
Fordham,90,28,1735,62,2074,74.1,-12.1,21.4,280,485,57.7,1549,40.2,0,0,0,353,12.607,461,16.464,879,31.4,1140,40.7,-9.3,0,220,7.9,523,18.7
Fort Wayne,91,28,1736,62,2028,72.4,-10.4,10.7,325,498,65.3,1492,42.2,0,0,0,360,12.857,435,15.536,941,33.6,928,33.1,0.5,0,152,5.4,514,18.4
Fresno St.,92,29,1822,62.8,1791,61.8,1.1,48.3,350,497,70.4,1485,43.3,0,0,0,399,13.759,398,13.724,1027,35.4,856,29.5,5.9,0,149,5.1,458,15.8
Furman,93,29,2123,73.2,1940,66.9,6.3,58.6,417,596,70,1658,45.1,0,0,0,454,15.655,454,15.655,1084,37.4,1008,34.8,2.6,0,240,8.3,517,17.8
Ga. Southern,94,29,2337,80.6,2066,71.2,9.3,72.4,477,692,68.9,1886,43.5,0,0,0,508,17.517,471,16.241,1140,39.3,1107,38.2,1.1,0,327,11.3,642,22.1
Gardner-Webb,95,29,1964,67.7,2122,73.2,-5.4,31,302,424,71.2,1716,41.7,0,0,0,436,15.034,483,16.655,1061,36.6,1045,36,0.6,0,190,6.6,513,17.7
George Mason,96,30,2186,72.9,2061,68.7,4.2,70,468,689,67.9,1711,44.5,0,0,0,432,14.4,473,15.767,1071,35.7,1093,36.4,-0.7,0,258,8.6,543,18.1
George Washington,97,29,2185,75.3,2013,69.4,5.9,62.1,463,647,71.6,1662,46.6,0,0,0,438,15.103,456,15.724,1046,36.1,967,33.3,2.7,0,243,8.4,559,19.3
Georgetown,98,28,1883,67.3,1848,66,1.3,46.4,409,573,71.4,1613,41,0,0,0,370,13.214,423,15.107,947,33.8,1032,36.9,-3,0,283,10.1,527,18.8
Georgia,99,29,1921,66.2,1890,65.2,1.1,55.2,478,679,70.4,1504,42.4,0,0,0,381,13.138,442,15.241,1007,34.7,933,32.2,2.6,0,236,8.1,558,19.2
Georgia St.,100,29,2169,74.8,1984,68.4,6.4,69,405,557,72.7,1656,46.9,0,0,0,463,15.966,437,15.069,1048,36.1,982,33.9,2.3,0,213,7.3,532,18.3
Georgia Tech,101,32,2498,78.1,2153,67.3,10.8,71.9,510,736,69.3,1868,47,0,0,0,505,15.781,495,15.469,1199,37.5,1194,37.3,0.2,0,283,8.8,680,21.3
Gonzaga,102,29,2388,82.3,1912,65.9,16.4,93.1,515,681,75.6,1636,51.5,0,0,0,528,18.207,393,13.552,1145,39.5,901,31.1,8.4,0,182,6.3,463,16
Grambling,103,28,1950,69.6,2078,74.2,-4.6,37.9,359,577,62.2,1605,43.9,0,0,0,454,16.214,477,17.036,993,35.5,1040,37.1,-1.7,0,188,6.7,603,21.5
Green Bay,105,28,1835,65.5,1829,65.3,0.2,60.7,416,579,71.8,1458,42.6,0,0,0,357,12.75,384,13.714,920,32.9,969,34.6,-1.8,0,165,5.9,526,18.8
