,Team name,Team ID,GM,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
10,Appalachian St.,11,29,1841,63.5,2033,70.1,-6.6,41.4,381,538,70.8,1602,39.8,588,31.6,32.2,318,11,398,13.7,1010,34.8,1014,35,-0.1,680,122,4.2,551,19
11,Arizona,12,34,2599,76.4,1993,58.6,17.8,91.2,611,874,69.9,1855,48.9,478,36,32.8,483,14.2,381,11.2,1266,37.2,968,28.5,8.8,898,244,7.2,609,17.9
12,Arizona St.,13,32,2222,69.4,2126,66.4,3,53.1,492,736,66.8,1701,44.4,626,34.8,36.3,414,12.9,444,13.9,1107,34.6,999,31.2,3.4,764,189,5.9,606,18.9
13,Ark.-Pine Bluff,14,32,1912,59.8,2140,66.9,-7.1,37.5,397,584,68,1638,40,611,33.2,36.9,323,10.1,489,15.3,926,28.9,1136,35.5,-6.6,601,283,8.8,623,19.5
14,Arkansas,15,34,2653,78,2385,70.1,7.9,76.5,562,776,72.4,2083,44.7,648,35,35.3,549,16.1,399,11.7,1216,35.8,1202,35.4,0.4,774,264,7.8,645,19
15,Arkansas St.,16,29,1869,64.4,2018,69.6,-5.1,37.9,372,530,70.2,1631,40.7,514,32.9,33.3,321,11.1,390,13.4,1038,35.8,1074,37,-1.2,719,154,5.3,496,17.1
16,Army West Point,17,30,2164,72.1,2163,72.1,0,50,379,557,68,1768,44.1,697,32.6,35.5,436,14.5,396,13.2,1033,34.4,1064,35.5,-1,708,192,6.4,612,20.4
17,Auburn,18,35,2378,67.9,2523,72.1,-4.1,42.9,606,910,66.6,1880,40.4,727,34.7,33.2,376,10.7,452,12.9,1104,31.5,1297,37.1,-5.5,748,238,6.8,708,20.2
18,Austin Peay,19,30,1937,64.6,2178,72.6,-8,26.7,456,685,66.6,1667,39.8,513,30.2,38.6,360,12,428,14.3,1043,34.8,1029,34.3,0.5,670,191,6.4,514,17.1
19,Ball St.,20,30,1961,65.4,2068,68.9,-3.6,23.3,389,561,69.3,1580,42.3,684,34.2,35.6,383,12.8,424,14.1,980,32.7,972,32.4,0.3,677,159,5.3,576,19.2
20,Baylor,21,33,2293,69.5,1991,60.3,9.2,72.7,476,710,67,1831,43.4,607,37.7,30,483,14.6,413,12.5,1293,39.2,1030,31.2,8,808,259,7.8,552,16.7
21,Belmont,22,32,2383,74.5,2251,70.3,4.1,68.8,400,579,69.1,1746,47.6,841,38.2,34.4,492,15.4,439,13.7,1064,33.3,1045,32.7,0.6,763,205,6.4,527,16.5
22,Bethune-Cookman,23,32,1899,59.3,2003,62.6,-3.3,34.4,482,672,71.7,1567,40,542,30.1,33.6,264,8.3,449,14,1056,33,1009,31.5,1.5,684,174,5.4,623,19.5
23,Binghamton,24,32,1845,57.7,2124,66.4,-8.7,18.8,408,618,66,1598,39.6,554,30.9,37.2,278,8.7,433,13.5,992,31,1124,35.1,-4.1,704,186,5.8,577,18
24,Boise St.,25,33,2335,70.8,1989,60.3,10.5,75.8,426,581,73.3,1768,45.8,738,39.4,30.8,399,12.1,339,10.3,1086,32.9,1005,30.5,2.5,800,201,6.1,564,17.1
25,Boston College,26,32,2105,65.8,2157,67.4,-1.6,40.6,412,584,70.5,1667,44.6,638,32.4,33.5,421,13.2,389,12.2,983,30.7,1067,33.3,-2.6,720,183,5.7,607,19
26,Boston U.,27,30,2037,67.9,2085,69.5,-1.6,43.3,469,674,69.6,1498,44.6,631,36.8,37,368,12.3,369,12.3,953,31.8,929,31,0.8,690,170,5.7,521,17.4
27,Bowling Green,28,31,2068,66.7,1930,62.3,4.5,64.5,395,555,71.2,1688,43.5,603,34,33,381,12.3,366,11.8,1079,34.8,1040,33.5,1.3,751,210,6.8,527,17
28,Bradley,29,33,1882,57,2026,61.4,-4.4,27.3,425,641,66.3,1700,37.6,594,30.1,35.8,308,9.3,418,12.7,1098,33.3,1077,32.6,0.6,721,227,6.9,645,19.5
29,Brown,30,31,2048,66.1,2144,69.2,-3.1,41.9,501,727,68.9,1623,42.3,549,31.9,33.6,369,11.9,460,14.8,1129,36.4,1079,34.8,1.6,805,139,4.5,591,19.1
30,Bryant,31,31,2058,66.4,2100,67.7,-1.4,51.6,414,552,75,1683,42.1,653,34.6,31.5,381,12.3,366,11.8,1029,33.2,1072,34.6,-1.4,723,157,5.1,560,18.1
31,Bucknell,32,,,,,,,57.6,496,708,70.1,1757,44.2,578,38.8,37.4,431,13.1,366,11.1,1094,33.2,1034,31.3,1.8,775,137,4.2,611,18.5
32,Buffalo,33,32,2400,75,2185,68.3,6.7,71.9,573,794,72.2,1878,43.5,567,34,33,421,13.2,361,11.3,1230,38.4,1132,35.4,3.1,818,244,7.6,589,18.4
33,Butler,34,32,2226,69.6,1958,61.2,8.4,68.8,488,718,68,1771,43.9,514,35.8,30.6,368,11.5,364,11.4,1175,36.7,968,30.3,6.5,785,204,6.4,564,17.6
34,BYU,35,34,2841,83.6,2467,72.6,11,73.5,660,859,76.8,2032,46.7,734,38.8,32.8,572,16.8,402,11.8,1310,38.5,1142,33.6,4.9,895,257,7.6,698,20.5
35,Cal Poly,36,29,1752,60.4,1721,59.3,1.1,44.8,346,506,68.4,1589,39,533,31.1,34.9,295,10.2,255,8.8,1002,34.6,961,33.1,1.4,660,158,5.4,465,16
36,Cal St. Fullerton,37,31,1991,64.2,2155,69.5,-5.3,29,428,623,68.7,1695,41.2,523,31.9,38,305,9.8,391,12.6,1088,35.1,1059,34.2,0.9,765,156,5,566,18.3
37,California,38,33,2195,66.5,2221,67.3,-0.8,54.5,368,567,64.9,1868,44,515,35.9,33.5,411,12.5,365,11.1,1171,35.5,1142,34.6,0.9,871,137,4.2,627,19
38,Campbell,39,32,2045,63.9,2124,66.4,-2.5,31.3,373,597,62.5,1654,42.6,736,35.6,34.5,419,13.1,403,12.6,988,30.9,1054,32.9,-2.1,683,226,7.1,576,18
