,Team name,Team ID,Games,Win %,FG %,FT %,3pt %,opp 3pt %,assists,turnovers,defensive rebounds per game,offensive rebounds per game,steals per game,personal fouls per game,PPG,opp PPG,score margin,assists per game,turnovers per gae,3FGA
279,Stony Brook,280,31,58.1,40.7,72.2,33.3,37.8,378,318,23.52,10.81,5.4,19.4,69.2,68.8,0.4,12.194,10.258,735
280,Syracuse,281,32,56.3,45.6,73.4,38.4,34,498,388,24.13,10.59,8,16.1,75.8,70.4,5.3,15.562,12.125,737
281,TCU,282,34,55.9,46.3,68.7,35.2,35.7,563,443,24.15,11.32,6.4,17.4,73.9,70.3,3.6,16.559,13.029,688
282,Temple,283,32,50,42.2,72.3,35.6,34.3,464,365,24.28,10,6.5,18.2,70.9,71.2,-0.3,14.5,11.406,807
283,Tennessee,284,32,50,42.2,72.9,32.6,35.6,441,399,25.56,12.13,5.5,20.9,74.5,73,1.5,13.781,12.469,579
284,Tennessee St.,285,30,56.7,44.3,69.2,33.9,34.8,339,452,25.07,12.2,6.7,21.1,71.1,67.7,3.4,11.3,15.067,501
285,Tennessee Tech,286,32,37.5,42.1,70.8,32.4,34.1,445,434,25.16,11.13,6.7,21.1,72.4,73.1,-0.7,13.906,13.562,743
286,Texas,287,33,33.3,43.9,65,29.2,32.6,377,443,24.52,9.79,5.8,17.8,67.1,68.9,-1.8,11.424,13.424,620
287,Texas A&M,288,31,51.6,45.8,64.9,32.9,35.2,489,439,25.68,12.94,6,16.5,70.2,67.8,2.4,15.774,14.161,574
288,Texas Southern,289,34,67.6,43.1,73.4,29.6,32.4,402,394,23.65,11.62,7.2,17.4,74.4,71.7,2.6,11.824,11.588,668
289,Texas St.,290,33,60.6,45,65.6,34.1,31.6,482,383,23.82,9.64,6.4,17.8,67.5,63.4,4.2,14.606,11.606,598
290,Texas Tech,291,32,56.3,46.9,73.3,36.9,35.5,447,354,23.63,9.34,5.3,17.5,73.3,67.1,6.3,13.969,11.062,575
291,The Citadel,292,33,36.4,41.5,75.7,34,38.7,561,473,23.82,13.58,9.3,22.4,89.8,94.6,-4.8,17,14.333,1166
292,Toledo,293,33,51.5,47.9,69.5,36.4,31.9,540,438,27.55,10.12,4,17.1,79,75.6,3.4,16.364,13.273,704
293,Towson,294,33,60.6,44.7,68.2,31.1,34,348,426,26.06,13.48,6.8,20.8,74.2,69.2,5,10.545,12.909,499
294,Troy,295,36,61.1,45.7,72.2,36.2,33.6,474,445,25.94,11,6.1,17.6,78.4,71.7,6.8,13.167,12.361,845
295,Tulane,296,31,19.4,40.5,71.7,32.4,38.1,398,420,23.06,11.26,6.2,20.9,70.3,78.5,-8.2,12.839,13.548,683
296,Tulsa,297,32,46.9,41.9,72.9,34.3,35.9,366,473,25.06,9.72,4.5,18.1,67.4,70.3,-2.8,11.438,14.781,683
297,UAB,298,33,51.5,46.2,73.6,34.9,34.2,503,444,26.27,9.73,4.8,16,71.8,70.2,1.6,15.242,13.455,582
298,UC Davis,299,34,64.7,43.7,66.5,35.4,33.1,440,481,25.38,10.26,5.7,19.4,70.5,68.9,1.6,12.941,14.147,599
299,UC Irvine,300,35,60,44.4,69.4,35.8,31.7,444,471,28.69,11.09,4.9,20.9,69.8,64.2,5.6,12.686,13.457,704
300,UC Riverside,301,28,25,41.1,69.9,31.8,34.4,319,387,24.86,9.43,6.6,19.8,64.8,70.4,-5.6,11.393,13.821,522
301,UC Santa Barbara,302,28,21.4,37.7,63.4,29,33.8,338,341,24,12.71,5.3,17.9,60.8,71,-10.2,12.071,12.179,531
302,UCF,303,32,65.6,43.6,66,34.7,31,362,469,30.16,11.03,3.9,15.5,67.2,60.6,6.6,11.312,14.656,666
303,UCLA,304,33,87.9,51.9,74.5,40.5,36.2,709,381,29.45,9.76,6.1,16.5,90.4,75.3,15,21.485,11.545,807
304,UConn,305,33,48.5,43,71.2,35.5,33.4,432,402,26.45,10.18,4.4,17.4,67.3,66.3,0.9,13.091,12.182,628
305,UMass Lowell,306,31,35.5,48.1,73.5,39,36.7,495,474,24.45,9.03,5.5,20.1,78.4,81.2,-2.8,15.968,15.29,
306,UMBC,307,30,60,46.8,73.4,39.6,34.8,441,350,25.87,9.4,6.7,19.2,81.4,77.2,4.3,14.7,11.667,725
307,UMES,308,34,41.2,42.4,68.3,34.2,35.3,449,437,23.32,10.29,5.6,19.6,71.4,76,-4.7,13.206,12.853,765
308,UMKC,309,33,51.5,44,71.3,37,34,426,482,24.61,9.97,6.7,22.2,76.9,78.8,-1.8,12.909,14.606,797
309,UNC Asheville,310,32,71.9,47.5,68.2,39.6,34.7,499,369,25.13,8.56,9.4,16.6,77.2,67.9,9.3,15.594,11.531,652
310,UNCG,311,34,73.5,46.3,70.9,38.7,35.7,503,462,24.15,11.53,7,18.1,75,68.6,6.4,14.794,13.588,778
311,UNCW,312,34,85.3,48.2,69.2,36.6,33.6,550,354,23.91,12,6.8,20,85.2,74.9,10.2,16.176,10.412,891
312,UNI,313,30,46.7,39.9,73.3,32.6,36.3,298,342,23.37,6.07,6.6,15.5,61.8,64.4,-2.6,9.9333,11.4,702
313,UNLV,314,32,34.4,39.5,69.6,32,37.8,412,410,26.25,11.41,5.9,16.8,68.8,75.2,-6.3,12.875,12.812,666
314,USC Upstate,315,32,53.1,46,65.4,35.1,33.2,500,405,26.88,12.16,5.3,16.8,78.7,76.5,2.2,15.625,12.656,797
315,UT Arlington,316,33,75.8,45.8,67.7,33.7,31.4,508,434,26.85,12.09,7.2,18.9,77.3,69,8.3,15.394,13.152,829
316,UT Martin,317,33,63.6,46.8,69.4,34.9,34.8,529,501,24.58,13.21,6.6,17.7,77.2,75.2,2,16.03,15.182,763
317,Utah,318,31,64.5,50.6,68.5,35.6,34.6,459,415,27.97,10,6.1,16.8,78.8,68,10.8,14.806,13.387,590
318,Utah St.,319,31,45.2,46.1,70.1,37.9,33.6,465,390,27.06,8.26,5,19,72.3,70.8,1.5,15,12.581,618
319,Utah Valley,320,31,48.4,43.7,70.4,31.8,32.7,484,479,30.58,8.77,6.4,19.5,77,73.5,3.6,15.613,15.452,855
320,UTEP,321,32,46.9,46.9,66.2,34.8,33.8,463,427,27.16,7.34,5.4,19.3,69.3,68.8,0.5,14.469,13.344,517
321,UTRGV,322,32,31.3,42.4,71.7,33.6,36.5,484,507,24.91,11.94,7.7,24.4,78.3,83.3,-5,15.125,15.844,821
322,UTSA,323,33,42.4,39.3,66.6,28.3,35,357,418,26.27,12.88,5.5,19.5,66,69.4,-3.4,10.818,12.667,608
323,Valparaiso,324,32,75,44.6,77.5,32.9,32.8,414,413,27.53,10.75,6.4,18.8,75.3,68.5,6.8,12.938,12.906,651
324,Vanderbilt,325,34,55.9,43.1,77.6,37.7,33.5,441,420,26.44,8.21,4.1,16.6,71.3,68.1,3.1,12.971,12.353,895
325,VCU,326,34,76.5,46.1,70.7,33.4,33.8,519,426,25.62,11.03,7.5,20.5,74.7,66.4,8.3,15.265,12.529,589
326,Vermont,327,34,85.3,49.6,70.2,36.9,33,455,383,24.88,9.35,5.7,15.9,73.6,61.6,12,13.382,11.265,594
327,Villanova,328,34,91.2,49.7,79.4,37,31.3,486,381,24.79,8.56,7.2,14.2,77.7,62.8,14.9,14.294,11.206,810
328,Virginia,329,32,68.8,46.4,70.8,39.3,31.2,456,305,24.13,8.81,5.7,16.3,66.6,55.6,11,14.25,9.5312,570
