,Team name,Team ID,GM,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG,,
206,Northwestern,207,33,1964,59.5,2091,63.4,-3.8,42.4,417,596,70,1679,39.6,708,31,31.5,364,11.0,360,10.9,1074,32.5,1224,37.1,-4.5,825,142,4.3,609,18.5,,
207,Northwestern St.,208,31,2686,86.6,2599,83.8,2.8,54.8,594,802,74.1,2037,47,527,33,34.8,513,16.5,420,13.5,1183,38.2,1260,40.6,-2.5,789,270,8.7,636,20.5,,
208,Notre Dame,209,32,2303,72,2258,70.6,1.4,46.9,397,553,71.8,1842,45.5,637,36,38.5,484,15.1,331,10.3,1081,33.8,1044,32.6,1.2,737,187,5.8,518,16.2,,
209,Oakland,210,33,2455,74.4,2554,77.4,-3,39.4,534,732,73,1890,43.4,754,37,38.8,522,15.8,367,11.1,1025,31.1,1192,36.1,-5.1,727,229,6.9,658,19.9,,
210,Ohio,211,34,2437,71.7,2272,66.8,4.9,67.6,460,647,71.1,1884,45.8,722,35,31.5,511,15.0,437,12.9,1199,35.3,1173,34.5,0.8,864,220,6.5,665,19.6,,
211,Ohio St.,212,34,2373,69.8,2032,59.8,10,73.5,538,781,68.9,1825,44.9,605,33,29.4,409,12.0,380,11.2,1159,34.1,1149,33.8,0.3,816,260,7.6,561,16.5,,
212,Oklahoma,213,32,2629,82.2,2428,75.9,6.3,71.9,588,784,75,1962,45.1,722,38,34,469,14.7,366,11.4,1205,37.7,1160,36.3,1.4,825,219,6.8,609,19.0,,
213,Oklahoma St.,214,33,2651,80.3,2280,69.1,11.2,63.6,671,927,72.4,1876,46.5,641,37,32.2,450,13.6,344,10.4,1163,35.2,1225,37.1,-1.9,848,250,7.6,647,19.6,,
214,Old Dominion,215,33,2093,63.4,2127,64.5,-1,48.5,431,702,61.4,1750,42.6,522,33,35.5,339,10.3,442,13.4,1169,35.4,1111,33.7,1.8,781,202,6.1,650,19.7,,
215,Ole Miss,216,33,2482,75.2,2400,72.7,2.5,57.6,552,793,69.6,2003,41.7,761,34,34.7,413,12.5,369,11.2,1211,36.7,1292,39.2,-2.5,783,246,7.5,641,19.4,,
216,Omaha,217,30,2405,80.2,2243,74.8,5.4,53.3,539,702,76.8,1842,45,607,35,33.2,464,15.5,373,12.4,1024,34.1,1081,36,-1.9,711,250,8.3,561,18.7,,
217,Oral Roberts,218,33,2357,71.4,2287,69.3,2.1,51.5,538,747,72,1806,46,447,35,36.2,398,12.1,376,11.4,1168,35.4,1074,32.5,2.8,804,172,5.2,644,19.5,,
218,Oregon,219,32,2619,81.8,2368,74,7.8,71.9,616,804,76.6,1874,46.8,635,39,32.3,462,14.4,373,11.7,1097,34.3,1057,33,1.3,752,254,7.9,680,21.3,,
