,Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
333,Washington,334,31,2368,76.4,2513,81.1,-4.7,29,394,602,65.4,1950,44.8,639,35.4,39.9,408,13.2,425,13.7,1156,37.3,1092,35.2,2.1,755,188,6.1,628,20.3
334,Washington St.,335,31,2179,70.3,2376,76.6,-6.4,41.9,368,487,75.6,1739,46.1,574,36.4,35.1,453,14.6,389,12.5,991,32,1123,36.2,-4.3,792,131,4.2,502,16.2
335,Weber St.,336,32,2559,80,2347,73.3,6.6,59.4,552,751,73.5,1757,48.8,697,41.8,36.1,417,13,364,11.4,1034,32.3,1127,35.2,-2.9,807,170,5.3,569,17.8
336,West Virginia,337,34,2787,82,2255,66.3,15.6,76.5,558,823,67.8,2153,45.8,711,36.1,34.9,569,16.7,417,12.3,1268,37.3,1179,34.7,2.6,781,353,10.4,699,20.6
337,Western Caro.,338,32,1965,61.4,2345,73.3,-11.9,28.1,345,528,65.3,1844,39,592,30.7,35.5,364,11.4,516,16.1,1159,36.2,1137,35.5,0.7,762,199,6.2,662,20.7
338,Western Ill.,339,28,2012,71.9,2151,76.8,-5,28.6,336,475,70.7,1633,43.5,654,38.8,40.6,375,13.4,369,13.2,968,34.6,1051,37.5,-3,774,130,4.6,546,19.5
339,Western Ky.,340,32,2209,69,2302,71.9,-2.9,46.9,441,657,67.1,1766,44,605,35.4,36.8,397,12.4,388,12.1,1118,34.9,1104,34.5,0.4,816,143,4.5,475,14.8
340,Western Mich.,341,32,2417,75.5,2408,75.3,0.3,50,482,685,70.4,1916,45,564,37.1,36.2,414,12.9,399,12.5,1155,36.1,1068,33.4,2.7,785,183,5.7,602,18.8
341,Wichita St.,342,34,2790,82.1,2123,62.4,19.6,88.2,596,812,73.4,2006,47.3,725,40.8,30.9,563,16.6,379,11.1,1389,40.9,1087,32,8.9,982,233,6.9,643,18.9
342,William & Mary,343,31,2534,81.7,2411,77.8,4,54.8,477,689,69.2,1808,49.1,740,38.2,34.8,543,17.5,388,12.5,1123,36.2,1077,34.7,1.5,852,167,5.4,566,18.3
343,Winthrop,344,32,2551,79.7,2246,70.2,9.5,81.3,515,715,72,1895,45.7,814,37.3,31,411,12.8,421,13.2,1197,37.4,1165,36.4,1,884,210,6.6,583,18.2
344,Wisconsin,345,34,2446,71.9,2088,61.4,10.5,73.5,407,632,64.4,1972,45.2,723,35.5,37.7,460,13.5,373,11,1269,37.3,1055,31,6.3,849,234,6.9,535,15.7
345,Wofford,346,33,2593,78.6,2479,75.1,3.5,48.5,482,618,78,1926,46.7,771,40.3,34.2,552,16.7,405,12.3,1107,33.5,1092,33.1,0.5,784,186,5.6,616,18.7
346,Wright St.,347,32,2465,77,2317,72.4,4.6,62.5,546,715,76.4,1819,44.9,749,38.1,33.8,472,14.8,474,14.8,1136,35.5,1055,33,2.5,810,181,5.7,594,18.6
347,Wyoming,348,32,2479,77.5,2416,75.5,2,56.3,538,739,72.8,1914,42.7,898,34.2,31.5,478,14.9,433,13.5,1232,38.5,1272,39.8,-1.3,958,172,5.4,686,21.4
348,Xavier,349,34,2537,74.6,2426,71.4,3.3,61.8,546,794,68.8,1929,45.4,703,34,33.8,505,14.9,435,12.8,1278,37.6,1053,31,6.6,863,209,6.1,638,18.8
349,Yale,350,29,2151,74.2,2028,69.9,4.2,62.1,405,553,73.2,1647,46.7,583,35.7,32.9,455,15.7,377,13,1058,36.5,959,33.1,3.4,757,162,5.6,454,15.7
350,Youngstown St.,351,34,2616,76.9,2799,82.3,-5.4,38.2,404,601,67.2,2230,44,750,33.3,34.6,513,15.1,406,11.9,1246,36.6,1381,40.6,-4,891,187,5.5,567,16.7
