,Team name,Team ID,Win %,Pts, PPG,OPP PTS,OPP PPG,SCR MAR,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,OPP 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
95,George Mason,96,72.7,2323,70.4,2142,64.9,5.5,511,732,69.8,1788,46.3,,,32.2,427,12.9,503,15.2,1202,36.4,1125,34.1,2.3,,224,6.8,650,19.7
96,George Washington,97,32.3,1921,62,2069,66.7,-4.8,326,491,66.4,1725,42.5,,,37.8,382,12.3,408,13.2,1022,33,1041,33.6,-0.6,,205,6.6,550,17.7
97,Georgetown,98,74.2,2141,69.1,1834,59.2,9.9,448,643,69.7,1643,46.3,499,34.7,27,424,13.7,393,12.7,1128,36.4,952,30.7,5.7,,193,6.2,545,17.6
98,Georgia,99,46.9,1950,60.9,2015,63,-2,364,530,68.7,1750,39.5,648,31.2,33,351,11,332,10.4,1065,33.3,1115,34.8,-1.6,,199,6.2,554,17.3
99,Georgia St.,100,65.6,2165,67.7,1896,59.3,8.4,414,631,65.6,1820,43.6,521,31.7,32,404,12.6,372,11.6,1152,36,1120,35,1,,297,9.3,515,16.1
100,Georgia Tech,101,35.5,1866,60.2,1940,62.6,-2.4,308,471,65.4,1639,42.7,507,31.2,34.7,340,11,448,14.5,1087,35.1,980,31.6,3.5,,161,5.2,513,16.5
101,Gonzaga,102,80.6,2293,74,1959,63.2,10.8,549,768,71.5,1634,47.3,527,37.6,31.2,426,13.7,414,13.4,1151,37.1,949,30.6,6.5,,211,6.8,470,15.2
102,Grambling,103,14.3,1513,54,2001,71.5,-17.4,356,518,68.7,1452,35.9,,,32.3,246,8.8,458,16.4,910,32.5,1082,38.6,-6.1,,135,4.8,461,16.5
103,Grand Canyon,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Green Bay,105,50,1935,64.5,1982,66.1,-1.6,384,544,70.6,1638,42.3,461,35.8,37.3,370,12.3,424,14.1,1059,35.3,1024,34.1,1.2,,181,6,536,17.9
105,Hampton,106,36.4,2134,64.7,2205,66.8,-2.2,459,717,64,1853,40.3,639,28.6,35.5,352,10.7,467,14.2,1193,36.2,1272,38.5,-2.4,,226,6.8,607,18.4
106,Hartford,107,29,1860,60,2084,67.2,-7.2,324,486,66.7,1580,41.4,736,31,36.5,406,13.1,478,15.4,898,29,1115,36,-7,,205,6.6,614,19.8
107,Harvard,108,86.7,1963,65.4,1645,54.8,10.6,447,599,74.6,1434,46.7,494,35.6,33.4,387,12.9,369,12.3,978,32.6,842,28.1,4.5,,180,6,452,15.1
108,Hawaii,109,50,2356,73.6,2387,74.6,-1,524,786,66.7,1811,46.1,501,32.3,34.3,475,14.8,487,15.2,1176,36.8,1119,35,1.8,,182,5.7,617,19.3
109,High Point,110,41.9,2203,71.1,2176,70.2,0.9,448,654,68.5,1698,43.9,656,40.1,33.4,389,12.5,386,12.5,1064,34.3,1094,35.3,-1,,174,5.6,577,18.6
110,Hofstra,111,31.3,2091,65.3,2151,67.2,-1.9,536,747,71.8,1732,40.4,,,35,389,12.2,442,13.8,1069,33.4,1078,33.7,-0.3,,245,7.7,595,18.6
111,Holy Cross,112,51.7,1886,65,1938,66.8,-1.8,374,519,72.1,1565,43,489,33.9,30.5,367,12.7,396,13.7,1002,34.6,994,34.3,0.3,,167,5.8,512,17.7
112,Houston,113,50,2152,71.7,2147,71.6,0.2,398,565,70.4,1714,46.4,464,35.3,36.1,398,13.3,435,14.5,1088,36.3,1024,34.1,2.1,,156,5.2,502,16.7
113,Houston Baptist,114,33.3,2208,73.6,2344,78.1,-4.5,481,704,68.3,1860,42.3,479,31.9,36.4,373,12.4,470,15.7,1088,36.3,1167,38.9,-2.6,,225,7.5,655,21.8
114,Howard,115,32.3,1881,60.7,2174,70.1,-9.5,505,744,67.9,1613,38.3,,,32.9,283,9.1,533,17.2,1082,34.9,1069,34.5,0.4,,189,6.1,691,22.3
115,Idaho,116,58.1,2156,69.5,2081,67.1,2.4,439,652,67.3,1584,47.8,517,39.3,34.5,455,14.7,418,13.5,1070,34.5,992,32,2.5,,145,4.7,536,17.3
116,Idaho St.,117,30,1979,66,2192,73.1,-7.1,396,579,68.4,1652,42.1,562,34.3,39.1,359,12,421,14,919,30.6,1028,34.3,-3.6,,211,7,594,19.8
117,Ill.-Chicago,118,26.7,1826,60.9,2033,67.8,-6.9,361,539,67,1611,39.5,593,32.5,36.5,341,11.4,439,14.6,1038,34.6,1013,33.8,0.8,,150,5,578,19.3
118,Illinois,119,53.1,2098,65.6,2055,64.2,1.3,378,529,71.5,1741,44.1,611,30.4,37.9,400,12.5,430,13.4,1045,32.7,1002,31.3,1.3,,162,5.1,565,17.7
119,Illinois St.,120,60.6,2255,68.3,2125,64.4,3.9,500,664,75.3,1719,43.3,730,36.3,34.9,423,12.8,390,11.8,1161,35.2,1080,32.7,2.5,,165,5,551,16.7
120,Incarnate Word,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Indiana,122,75.8,2550,77.3,2163,65.5,11.7,625,820,76.2,1759,48.7,487,43.3,34.9,443,13.4,421,12.8,1152,34.9,1009,30.6,4.3,,212,6.4,580,17.6
122,Indiana St.,123,56.3,2060,64.4,2074,64.8,-0.4,462,636,72.6,1674,41.9,571,34.3,36.8,384,12,392,12.3,1047,32.7,1068,33.4,-0.7,,191,6,526,16.4
123,Iona,124,78.1,2664,83.3,2322,72.6,10.7,436,609,71.6,1963,50.4,631,39.3,35.4,619,19.3,396,12.4,1112,34.8,1083,33.8,0.9,,231,7.2,540,16.9
124,Iowa,125,51.5,2374,71.9,2354,71.3,0.6,525,733,71.6,1847,45,501,36.9,34.4,479,14.5,414,12.5,1135,34.4,1126,34.1,0.3,,253,7.7,551,16.7
125,Iowa St.,126,68.8,2342,73.2,2135,66.7,6.5,466,686,67.9,1773,44.9,748,38,29.8,467,14.6,401,12.5,1175,36.7,1028,32.1,4.6,,188,5.9,514,16.1
126,IUPUI,127,43.8,2319,72.5,2329,72.8,-0.3,495,638,77.6,1850,44.3,525,35.4,35.3,375,11.7,379,11.8,1053,32.9,1082,33.8,-0.9,,218,6.8,556,17.4
127,Jackson St.,128,22.6,1737,56,2042,65.9,-9.8,368,542,67.9,1621,38.1,,,34.1,258,8.3,475,15.3,1022,33,1086,35,-2.1,,224,7.2,598,19.3
128,Jacksonville,129,26.7,1951,65,2173,72.4,-7.4,388,591,65.7,1688,41.8,474,31.9,35.6,363,12.1,449,15,1022,34.1,1032,34.4,-0.3,,220,7.3,665,22.2
129,Jacksonville St.,130,45.5,2143,64.9,2106,63.8,1.1,503,742,67.8,1761,42.5,,,32,399,12.1,443,13.4,1090,33,1105,33.5,-0.5,,243,7.4,636,19.3
