,Team name,Team ID,FG%,FGA,Games,Win %,FT,FTA,FT%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DRPG,ST,STPG,Fouls,PFPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
212,Oklahoma,213,45.9,1928,32,78.1,471,647,72.8,784,42.6,34,465,14.5,415,13,1242,38.8,1162,36.3,2.5,28.09,221,6.9,538,16.8,2573,80.4,2254,70.4,10
213,Oklahoma St.,214,42.3,1709,32,37.5,477,654,72.9,625,32.8,34.2,389,12.2,402,12.6,1111,34.7,1150,35.9,-1.2,25.03,179,5.6,637,19.9,2128,66.5,2148,67.1,-0.6
214,Old Dominion,215,44.2,2051,35,62.9,,,,475,30.1,31.1,461,13.2,322,9.2,1360,38.9,1142,32.6,6.2,25.57,201,5.7,642,18.3,2397,68.5,2164,61.8,6.7
215,Ole Miss,216,,,32,62.5,561,791,70.9,745,33.8,35.5,412,12.9,386,12.1,1230,38.4,1164,36.4,2.1,25.19,242,7.6,636,19.9,2405,75.2,2306,72.1,3.1
216,Omaha,217,47.3,1943,31,58.1,592,797,74.3,564,33.2,35.2,441,14.2,404,13,1097,35.4,1144,36.9,-1.5,24.94,291,9.4,627,20.2,2617,84.4,2499,80.6,3.8
217,Oral Roberts,218,45.7,1821,31,45.2,498,665,74.9,514,37.7,36.7,383,12.4,373,12,1101,35.5,1092,35.2,0.3,25.87,162,5.2,564,18.2,2356,76,2384,76.9,-0.9
218,Oregon,219,46.7,1997,34,82.4,580,813,71.3,670,34.9,36.3,464,13.6,393,11.6,1229,36.1,1119,32.9,3.2,24.41,259,7.6,607,17.9,2680,78.8,2350,69.1,9.7
219,Oregon St.,220,44.1,1783,31,61.3,451,672,67.1,570,37,32.9,418,13.5,355,11.5,1073,34.6,1141,36.8,-2.2,23.97,231,7.5,624,20.1,2234,72.1,2169,70,2.1
220,Pacific,221,43.9,1559,28,28.6,388,575,67.5,576,33,35.8,362,12.9,383,13.7,993,35.5,969,34.6,0.9,25.39,125,4.5,637,22.8,1948,69.6,2009,71.8,-2.2
221,Penn,222,42.7,1604,28,39.3,341,508,67.1,656,30.5,34.7,380,13.6,373,13.3,1002,35.8,1029,36.8,-1,25.54,146,5.2,514,18.4,1911,68.3,2013,71.9,-3.6
